participation_id;volunteer_id;event_id;role
1;1;1;Уборщик территории
2;2;2;Медицинский волонтер
3;3;3;Фотограф
4;4;4;Координатор
5;5;5;Лектор
6;6;6;Помощник ветерана
7;7;7;Экопросветитель
8;8;8;Сборщик игрушек
9;9;9;Спортивный судья
10;10;10;Реставратор
11;11;11;Медсестра
12;12;12;Консультант по ВИЧ
13;13;13;Наблюдатель
14;14;14;Ведущий мастер-класса
15;15;15;Поздравляющий
16;16;16;Организатор
17;17;17;Продавец на ярмарке
18;18;18;Поисковик
19;19;19;Спикер
20;20;20;Эксперт по сортировке